name,genre,gender,team_type,appearance_fee,billions_club_status,2billions_club_status,5billions_club_status,10billions_club_status,company_name,insta_followers,award_history,youtube_subscriber_count,youtube_views,recent_mv_upload_count,recent_mv_avg_view,grade
조이,"발라드, 국내드라마, R&B/Soul",여,솔로,200000000,0,0,0,0,(주)SM엔터테인먼트,14170000,1,0,0,0,0,6
도경수,"발라드, 포크/블루스, 국내드라마",남,솔로,500000000,0,0,0,0,컴퍼니수수,4120000,19,414000,34021846,3,3380082,7
이하이,"R&B/Soul, 발라드, 댄스",여,솔로,35000000,0,0,0,0,에이오엠지,4400000,8,1860000,752958806,0,11354733,4
재쓰비(JAESSBEE),댄스,혼성,그룹,25000000,0,0,0,0,STUDIO 161,36000,0,0,0,0,0,3
지코,"랩/힙합, 발라드, 국내드라마",남,솔로,120000000,1,1,0,0,KOZ 엔터테인먼트,5350000,30,1100000,656078307,6,292060,6
영탁,"성인가요/트로트, 발라드, 국내드라마",남,솔로,25000000,1,1,0,0,ABYSS COMPANY,257000,31,96400,205363474,8,522716,3
르세라핌,"댄스, 랩, 힙합, R&B/Soul",여 ,그룹,120000000,0,0,0,0,(주)쏘스뮤직,9600000,30,6120000,4444406447,10,476275,6
제시,"랩/힙합, 발라드, R&B/Soul",여,솔로,70000000,0,0,0,0,언니컴퍼니,15160000,11,4160000,1033429721,3,15835974,4
닐로,발라드,남,솔로,11000000,0,0,0,0,레이벡스,26000,0,0,0,0,0,2
김나영,"발라드, 국내드라마, 랩/힙합",여,솔로,25000000,1,0,0,0,네버랜드,15000,3,252000,317481817,3,4060,3
벤,"발라드, 국내드라마, R&B/Soul",여,솔로,34000000,1,0,0,0,BRD ent,588000,3,45100,63298116,0,56107,4
정동하,"발라드, 록/메탈, 국내드라마",남 ,솔로,2500000,0,0,0,0,뮤직원컴퍼니,534,7,14200,2058568,0,4166,1
빈지노,"랩/합합, 댄스, 국내드라마",남,솔로,33500000,0,0,0,0,비스츠앤네이티브스,945000,4,205000,326038488,0,599128,4
윤종신,"발라드, R&B/Soul, 댄스",남,솔로,25000000,1,0,0,0,미스틱스토리,372000,7,256000,195363857,6,80598,3
허각,"발라드, 국내드라마, 댄스",남,솔로,24000000,1,1,0,0,OS Projects,94000,12,15700,2426654,0,59239,3
더콰이엇,"랩/합합, 인디음악",남 ,솔로,23500000,0,0,0,0,일리네어 레코즈,611000,4,16500,118386418,0,132993,3
